DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\email\feedparser.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\PIL\_deprecate.py first seen with mtime 1740858906.4876456
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\encodings\aliases.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1740858008.763191
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\views\__init__.py first seen with mtime 1740858008.9760718
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\_weakrefset.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\copyreg.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\tienda\manage.py first seen with mtime 1740858281.1959136
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1740858005.71979
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\files\move.py first seen with mtime 1740858008.6714377
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1740858008.7131832
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\futures.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\tempfile.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1740858008.6623955
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\views\static.py first seen with mtime 1740858008.981737
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\random.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1740858008.666493
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\conf\urls\static.py first seen with mtime 1740858005.7221968
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1740858004.214366
DEBUG 2025-03-25 23:18:52,174 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1740858008.9151678
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\urls\converters.py first seen with mtime 1740858008.9251647
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\apps\registry.py first seen with mtime 1740858005.3353736
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1740858008.6784487
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1740858004.211928
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\template\backends\base.py first seen with mtime 1740858008.9053564
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\__future__.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\ctypes\__init__.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\pkgutil.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\template\exceptions.py first seen with mtime 1740858008.8987024
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1740858008.72316
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\locale.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,175 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\email\parser.py first seen with mtime 1613764526.0
